Frame,ID,Class,X,Y,Width,Height
0,1,car,517,336,120,91
0,2,car,1146,285,69,48
0,3,truck,580,277,97,79
0,4,truck,729,207,74,62
0,5,car,681,317,108,81
0,6,car,426,279,85,55
0,7,truck,931,249,57,48
0,8,car,382,252,63,50
0,9,car,846,241,48,33
0,10,truck,435,230,51,43
0,11,truck,715,205,102,64
0,12,truck,247,164,33,41
1,1,car,518,337,120,90
1,2,car,1143,285,68,49
1,3,truck,581,277,97,79
1,4,truck,728,207,76,62
1,5,car,684,318,108,81
1,6,car,427,279,85,55
1,7,truck,931,248,59,48
1,8,car,382,253,62,50
1,9,car,844,240,45,32
1,10,truck,435,230,50,42
1,11,truck,713,205,107,64
1,12,truck,247,163,33,41
2,1,car,519,338,121,90
2,2,car,1141,284,67,48
2,3,truck,582,278,98,78
2,4,truck,726,206,78,62
2,5,car,687,319,107,83
2,6,car,427,279,84,54
2,7,truck,928,248,58,47
2,8,car,382,253,62,50
2,9,car,843,240,47,32
2,10,truck,435,230,52,42
2,12,truck,247,163,34,41
3,1,car,521,339,122,93
3,2,car,1139,284,67,48
3,3,truck,584,278,99,79
3,4,truck,725,206,80,62
3,5,car,690,320,106,84
3,6,car,427,279,83,56
3,7,truck,927,247,58,47
3,8,car,382,254,63,49
3,9,car,843,240,46,32
3,10,car,436,231,52,42
3,12,truck,248,164,34,40
4,1,car,523,340,122,94
4,2,car,1137,284,67,48
4,3,truck,585,279,99,80
4,4,truck,726,205,78,60
4,5,car,692,321,107,85
4,6,car,425,279,79,56
4,7,truck,925,248,57,46
4,8,car,383,253,63,49
4,9,car,841,240,46,31
4,10,truck,436,231,53,43
4,12,truck,247,163,33,40
5,1,car,524,341,122,94
5,2,car,1135,283,66,48
5,3,truck,587,279,99,81
5,4,truck,721,206,87,60
5,5,car,695,322,108,87
5,6,car,428,280,82,55
5,7,truck,924,248,57,44
5,8,car,383,254,64,50
5,9,car,840,239,47,31
5,10,car,437,231,53,43
5,12,truck,247,164,33,40
6,1,car,526,342,123,94
6,2,car,1133,283,66,48
6,3,truck,589,279,99,82
6,4,truck,723,205,82,60
6,5,car,699,322,110,87
6,6,car,430,281,84,56
6,7,truck,923,248,54,44
6,8,car,384,254,62,50
6,9,car,839,239,45,31
6,10,car,438,231,52,43
6,12,truck,247,163,33,40
7,1,car,529,343,125,95
7,2,car,1131,283,66,49
7,3,truck,591,280,100,83
7,4,truck,724,205,80,59
7,5,car,702,323,111,86
7,6,car,430,281,84,56
7,7,truck,922,248,54,44
7,8,car,385,255,61,51
7,9,car,839,239,46,31
7,10,car,438,231,52,44
7,12,truck,247,163,33,40
8,1,car,530,344,124,96
8,2,car,1129,283,65,48
8,3,truck,593,281,99,82
8,4,truck,721,205,74,60
8,5,car,704,324,112,87
8,6,car,431,282,84,56
8,7,truck,919,248,52,44
8,8,car,386,255,61,51
8,9,car,837,239,47,31
8,10,car,438,232,51,44
8,12,truck,247,164,33,41
9,1,car,533,345,125,95
9,2,car,1126,282,65,48
9,3,truck,595,281,100,82
9,4,truck,719,205,71,61
9,5,car,707,325,113,87
9,6,car,432,283,82,56
9,7,truck,918,248,52,43
9,8,car,387,256,64,50
9,9,car,836,238,45,32
9,10,car,439,231,52,43
9,12,truck,247,164,33,40
10,1,car,534,346,126,96
10,2,car,1124,282,65,48
10,3,truck,597,282,101,84
10,4,truck,719,205,70,60
10,5,car,710,326,114,87
10,6,car,432,283,82,56
10,7,truck,916,248,52,43
10,8,car,388,256,64,50
10,9,car,835,238,45,32
10,10,car,439,232,54,45
10,12,truck,247,163,33,40
11,1,car,536,347,129,97
11,2,car,1123,281,65,48
11,3,truck,599,284,101,84
11,4,truck,718,205,69,59
11,5,car,713,327,114,88
11,6,car,430,283,78,58
11,7,truck,915,247,52,43
11,8,car,388,256,63,50
11,9,car,834,238,46,32
11,10,car,439,232,54,46
11,12,truck,247,163,33,40
12,1,car,539,349,131,98
12,2,car,1121,281,66,48
12,3,truck,601,284,101,84
12,4,truck,717,205,67,59
12,5,car,717,328,114,89
12,6,car,434,284,83,58
12,7,truck,914,247,52,43
12,8,car,388,257,63,50
12,9,car,833,238,45,32
12,10,car,440,233,53,47
12,12,truck,247,163,34,40
13,1,car,540,350,132,98
13,2,car,1119,281,66,48
13,3,truck,603,284,101,85
13,4,truck,716,205,68,59
13,5,car,720,329,115,89
13,6,car,436,285,85,58
13,7,truck,913,247,53,43
13,8,car,389,257,63,50
13,9,car,832,238,45,33
13,10,car,441,233,52,47
13,12,truck,247,164,33,39
14,1,car,542,351,132,99
14,2,car,1117,280,66,48
14,3,truck,604,284,102,86
14,4,truck,715,205,68,60
14,5,car,723,330,115,90
14,6,car,437,285,86,59
14,7,truck,912,246,52,43
14,8,car,390,257,64,51
14,9,car,831,238,44,33
14,10,car,442,233,53,47
14,12,truck,247,164,33,38
15,1,car,545,352,134,100
15,2,car,1115,280,66,48
15,3,truck,607,285,100,86
15,4,truck,715,205,69,60
15,5,car,727,331,117,90
15,6,car,438,286,86,58
15,7,truck,910,246,52,43
15,8,car,390,258,64,51
15,9,car,830,238,44,32
15,10,car,443,233,54,47
15,12,truck,248,167,34,34
15,19,truck,318,207,57,45
16,1,car,546,353,134,99
16,2,car,1113,280,64,48
16,3,truck,608,286,102,85
16,4,truck,714,205,67,60
16,5,car,729,331,117,90
16,6,car,440,286,87,59
16,7,truck,909,246,52,42
16,8,car,391,259,64,52
16,9,car,829,238,44,32
16,10,car,444,233,53,46
16,12,truck,247,166,33,36
16,19,truck,317,207,54,44
17,1,car,547,354,134,100
17,2,car,1111,280,63,47
17,3,truck,610,286,103,85
17,4,truck,714,205,67,60
17,5,car,733,333,118,90
17,6,car,441,286,88,60
17,7,truck,908,246,51,41
17,8,car,392,259,66,51
17,9,car,828,238,44,32
17,10,car,445,233,53,46
17,12,truck,248,168,34,31
17,19,truck,318,208,48,43
18,1,car,549,355,133,101
18,2,car,1109,279,64,47
18,3,truck,612,287,104,85
18,4,truck,713,205,67,60
18,5,car,736,334,119,91
18,6,car,442,286,88,60
18,7,truck,907,246,52,41
18,8,car,393,259,66,51
18,9,car,827,237,43,32
18,10,car,445,233,53,46
18,12,truck,248,171,34,26
18,19,truck,320,208,48,43
19,1,car,551,356,134,101
19,2,car,1108,279,65,47
19,3,truck,613,287,103,85
19,4,truck,713,204,68,60
19,5,car,740,335,119,92
19,6,car,444,287,88,61
19,7,truck,906,245,51,41
19,8,car,394,260,66,51
19,9,car,826,237,44,32
19,10,car,444,233,57,45
19,12,truck,248,170,34,28
19,19,truck,320,207,53,43
20,1,car,553,358,135,102
20,2,car,1106,279,63,47
20,3,truck,616,288,102,85
20,4,truck,712,204,68,60
20,5,car,743,336,120,93
20,6,car,445,287,89,62
20,7,truck,905,245,51,41
20,8,car,394,260,66,52
20,9,truck,826,237,44,31
20,10,car,445,234,55,45
20,12,truck,248,171,34,24
20,11,truck,697,204,100,60
21,1,car,556,359,135,104
21,2,car,1105,278,65,48
21,3,truck,618,289,103,87
21,4,truck,712,204,67,60
21,5,car,747,337,122,94
21,6,car,446,288,89,62
21,7,truck,904,245,51,41
21,8,car,395,260,66,52
21,9,car,825,236,44,32
21,10,car,448,234,54,46
21,12,truck,249,166,33,35
21,11,truck,696,204,102,62
22,1,car,557,361,136,104
22,2,car,1102,278,63,48
22,3,truck,620,290,104,88
22,4,truck,712,204,67,60
22,5,car,750,339,122,95
22,6,car,446,288,88,62
22,7,truck,902,245,51,41
22,8,car,396,261,66,53
22,9,car,823,236,44,31
22,10,car,449,234,54,46
22,12,truck,248,169,34,28
22,11,truck,696,204,101,58
23,1,car,560,362,136,105
23,2,car,1101,278,63,48
23,3,truck,622,290,105,88
23,4,truck,711,204,67,60
23,5,car,754,340,121,96
23,6,car,448,289,90,62
23,7,truck,901,245,52,41
23,8,car,397,261,66,53
23,9,car,822,236,44,31
23,10,car,449,234,56,47
23,12,truck,248,169,34,30
23,11,truck,696,204,101,57
24,1,car,562,363,137,105
24,2,car,1099,277,62,47
24,3,truck,625,291,106,88
24,4,truck,711,203,67,59
24,5,car,757,341,123,96
24,6,car,450,290,91,62
24,7,truck,901,245,53,41
24,8,car,398,260,68,54
24,9,car,821,235,45,30
24,10,car,451,234,56,46
24,12,truck,249,170,33,27
24,11,truck,696,203,100,57
25,1,car,564,365,139,105
25,2,car,1096,276,62,46
25,3,truck,627,292,108,89
25,4,truck,710,203,66,59
25,5,car,761,342,124,96
25,6,car,451,290,91,63
25,7,truck,899,244,50,41
25,8,car,398,260,68,55
25,9,car,820,235,45,30
25,10,car,452,234,56,46
25,12,truck,248,170,34,27
25,11,truck,694,203,100,58
26,1,car,566,366,141,105
26,2,car,1094,276,63,46
26,3,truck,629,292,108,89
26,4,truck,709,203,66,58
26,5,car,765,343,126,97
26,6,car,451,291,91,63
26,7,truck,898,244,50,41
26,8,car,399,261,68,56
26,9,car,819,235,46,31
26,10,truck,452,234,55,46
26,12,truck,248,171,34,24
27,1,car,569,367,142,106
27,2,car,1092,276,64,46
27,3,truck,632,293,109,90
27,4,truck,708,202,65,58
27,5,car,769,344,127,98
27,6,car,452,291,90,63
27,7,truck,897,244,50,41
27,8,car,401,262,69,55
27,9,car,817,235,45,31
27,10,car,452,235,56,46
27,12,truck,248,170,34,26
27,19,truck,318,208,66,46
28,1,car,570,368,142,107
28,2,car,1091,276,63,46
28,3,truck,633,294,110,91
28,4,truck,707,202,66,57
28,5,car,773,345,128,99
28,6,car,453,292,90,63
28,7,truck,895,243,50,41
28,8,car,401,262,69,55
28,9,car,817,235,45,32
28,10,car,453,235,56,47
28,12,truck,248,170,34,27
28,19,truck,318,208,67,46
29,1,car,572,369,142,107
29,2,car,1089,275,63,46
29,3,truck,635,294,111,92
29,4,truck,707,203,67,58
29,5,car,776,347,129,100
29,6,car,454,292,90,64
29,7,truck,894,243,50,41
29,8,car,401,263,69,55
29,9,car,817,235,44,32
29,10,car,455,235,56,48
29,12,truck,248,168,34,30
29,19,truck,320,208,68,47
30,1,car,575,370,142,109
30,2,car,1087,275,62,47
30,3,truck,637,295,112,92
30,4,truck,706,203,67,58
30,5,car,780,348,130,100
30,6,car,456,293,92,64
30,7,truck,893,243,49,41
30,8,car,402,263,70,56
30,9,car,816,234,44,32
30,10,car,455,236,55,48
30,12,truck,248,168,33,30
30,19,truck,323,208,67,46
31,1,car,576,371,143,109
31,2,car,1086,275,62,46
31,3,truck,639,296,112,92
31,4,truck,706,202,66,58
31,5,car,783,349,131,100
31,6,car,457,294,92,63
31,7,truck,892,243,50,41
31,8,car,403,264,71,56
31,9,car,814,234,44,32
31,10,car,456,236,55,48
31,12,truck,249,169,33,28
31,19,truck,323,208,61,46
32,1,car,579,373,144,109
32,2,car,1084,274,61,46
32,3,truck,641,296,112,93
32,4,truck,705,203,67,57
32,5,car,787,350,132,101
32,6,car,458,294,93,64
32,7,truck,891,243,50,41
32,8,car,404,264,71,56
32,9,car,814,233,44,32
32,10,car,456,235,55,48
32,12,truck,249,164,33,38
32,19,truck,321,208,57,46
33,1,car,581,374,145,110
33,2,car,1082,274,61,45
33,3,truck,644,297,114,93
33,4,truck,705,202,67,58
33,5,car,791,351,133,102
33,6,car,459,295,94,65
33,7,truck,890,242,50,40
33,8,car,404,264,69,57
33,9,car,813,233,44,32
33,10,car,457,236,55,49
33,12,truck,248,162,34,42
33,19,truck,319,208,56,47
34,1,car,585,376,149,110
34,2,car,1081,274,62,46
34,3,truck,646,297,114,93
34,4,truck,705,203,68,58
34,5,car,796,353,133,102
34,6,car,460,295,95,66
34,7,truck,889,242,50,41
34,8,car,405,264,71,58
34,9,car,812,233,44,32
34,10,car,457,236,54,50
34,12,truck,248,162,33,43
34,19,truck,321,208,57,47
35,1,car,589,378,153,111
35,2,car,1079,273,60,46
35,3,truck,649,298,114,94
35,4,truck,703,203,67,57
35,5,car,800,354,133,103
35,6,car,461,295,96,66
35,7,truck,888,242,50,41
35,8,car,406,264,72,58
35,9,car,811,232,44,32
35,10,car,458,236,55,49
35,12,truck,248,162,34,44
35,19,truck,321,208,57,47
36,1,car,592,380,155,112
36,2,car,1077,273,61,45
36,3,truck,650,299,114,94
36,4,truck,703,202,68,57
36,5,car,804,356,134,103
36,6,car,462,296,96,65
36,7,truck,887,241,49,41
36,8,car,406,265,72,57
36,9,car,810,233,44,31
36,10,car,459,237,54,50
36,12,truck,248,161,34,44
36,19,truck,319,208,60,47
37,1,car,594,382,156,112
37,2,car,1076,273,61,45
37,3,truck,653,299,114,93
37,4,truck,703,202,68,57
37,5,car,808,358,135,104
37,6,car,463,296,97,66
37,7,truck,886,241,50,42
37,8,car,407,265,70,57
37,9,car,809,232,44,31
37,10,car,460,237,54,50
37,12,truck,249,161,34,44
37,19,car,322,213,50,38
38,1,car,597,383,156,113
38,2,car,1074,273,60,46
38,3,truck,655,300,115,93
38,4,truck,702,202,68,57
38,5,car,813,359,137,106
38,6,car,464,297,95,66
38,7,truck,885,241,50,41
38,8,car,409,265,71,56
38,9,car,808,232,44,30
38,10,car,461,237,53,50
38,12,truck,249,161,34,44
38,19,car,324,216,46,32
39,1,car,598,384,156,114
39,2,car,1071,273,61,46
39,3,truck,657,301,116,95
39,4,truck,701,202,67,58
39,5,car,816,360,139,106
39,6,car,466,297,97,66
39,7,truck,884,240,50,41
39,8,car,410,266,74,57
39,9,car,808,233,42,30
39,10,car,462,237,54,50
39,12,truck,249,161,34,44
39,19,car,325,217,44,30
40,1,car,601,386,155,115
40,2,car,1069,272,60,45
40,3,truck,660,301,115,95
40,4,truck,700,202,65,58
40,5,car,822,361,139,107
40,6,car,467,297,97,66
40,7,truck,882,240,50,40
40,8,car,411,266,73,58
40,9,car,807,233,44,30
40,10,car,462,237,54,50
40,12,truck,249,161,34,45
40,19,car,325,218,44,29
41,1,car,603,387,155,117
41,2,car,1068,272,62,45
41,3,truck,663,302,117,96
41,4,truck,699,202,64,58
41,5,car,825,363,140,108
41,6,car,468,298,98,67
41,7,car,881,240,50,40
41,8,car,411,266,74,59
41,9,car,806,233,43,30
41,10,truck,463,237,54,50
41,12,truck,249,161,34,44
41,19,car,325,217,43,30
42,1,car,605,389,156,117
42,2,car,1066,271,60,45
42,3,truck,665,303,119,96
42,4,truck,699,202,64,58
42,5,car,830,365,141,108
42,6,car,469,299,99,67
42,7,truck,880,240,49,39
42,8,car,413,266,74,59
42,9,car,805,232,42,31
42,10,car,464,238,55,50
42,12,truck,250,161,34,44
42,19,car,325,217,44,31
43,1,car,608,390,158,118
43,2,car,1064,271,62,45
43,3,truck,668,304,120,96
43,4,truck,698,202,64,58
43,5,car,835,366,142,109
43,6,car,471,300,100,67
43,7,truck,879,240,50,39
43,8,car,414,267,74,59
43,9,car,804,232,43,31
43,10,car,465,238,56,49
43,12,truck,250,161,34,44
43,19,car,325,217,45,32
44,1,car,610,391,159,119
44,2,car,1063,271,60,45
44,3,truck,670,304,121,97
44,4,truck,698,202,63,58
44,5,car,839,368,143,110
44,6,car,472,301,99,67
44,7,truck,878,240,50,39
44,8,car,414,268,74,59
44,9,car,803,232,43,31
44,10,car,465,238,57,49
44,12,truck,249,161,34,44
44,19,car,325,217,44,33
45,1,car,613,392,160,120
45,2,car,1061,270,61,45
45,3,truck,673,305,120,97
45,4,truck,697,202,63,57
45,5,car,844,369,144,110
45,6,car,473,301,100,68
45,7,truck,877,239,50,39
45,8,car,415,267,75,59
45,9,car,802,231,42,31
45,10,car,466,238,58,49
45,12,truck,250,161,34,45
45,19,car,326,217,43,34
45,37,car,673,305,120,97
46,1,car,615,394,161,121
46,2,car,1059,270,61,45
46,3,truck,676,306,122,99
46,4,truck,697,202,62,58
46,5,car,848,371,146,111
46,6,car,474,302,99,69
46,7,car,876,239,50,40
46,8,car,417,268,76,59
46,9,car,802,231,41,31
46,10,car,467,239,57,50
46,12,truck,250,161,34,45
46,19,car,327,217,42,34
46,37,car,676,306,122,98
46,38,truck,876,239,51,40
47,1,car,618,396,162,122
47,2,car,1057,270,61,45
47,3,truck,678,306,124,99
47,4,truck,697,201,63,57
47,5,car,853,372,147,111
47,6,car,475,302,99,69
47,8,car,418,269,77,59
47,9,car,800,231,44,31
47,10,car,468,239,56,50
47,12,truck,250,161,35,45
47,19,car,327,217,43,34
48,1,car,621,399,163,123
48,2,car,1056,270,61,45
48,3,truck,681,308,125,100
48,4,truck,696,201,63,57
48,5,car,858,374,148,113
48,6,car,477,303,99,69
48,8,car,419,270,79,58
48,9,car,799,231,44,31
48,10,car,469,239,56,51
48,12,truck,250,161,35,44
48,19,car,327,217,44,34
48,7,truck,874,238,51,39
49,1,car,624,401,163,123
49,2,car,1054,269,60,45
49,3,truck,684,308,126,100
49,4,truck,696,201,64,57
49,5,car,863,376,148,115
49,6,car,478,303,99,70
49,8,car,420,270,79,59
49,9,car,798,231,44,30
49,10,car,470,240,58,51
49,12,truck,250,161,35,45
49,19,car,328,218,45,34
49,39,car,873,239,50,40
49,7,truck,873,238,50,39
50,1,car,628,402,164,124
50,2,car,1052,269,60,44
50,3,truck,686,310,126,100
50,4,truck,695,201,63,57
50,5,car,868,378,149,116
50,6,car,479,304,100,70
50,8,car,420,270,78,59
50,9,car,797,230,43,30
50,10,car,471,240,59,52
50,12,truck,251,161,35,44
50,19,car,328,218,46,35
50,7,truck,871,238,51,39
51,1,car,631,405,167,124
51,2,car,1051,269,59,44
51,3,truck,689,310,127,102
51,4,truck,694,201,64,56
51,5,car,873,379,152,116
51,6,car,481,305,101,71
51,8,car,421,270,79,60
51,9,car,796,230,44,31
51,10,car,472,241,59,52
51,12,truck,251,161,34,44
51,19,car,328,218,46,35
51,7,truck,871,239,51,40
52,1,car,634,406,168,126
52,2,car,1050,268,59,43
52,3,truck,692,311,127,103
52,4,truck,693,201,65,56
52,5,car,878,381,153,117
52,6,car,482,306,102,71
52,8,car,422,271,80,60
52,9,car,795,230,42,31
52,10,car,473,241,59,51
52,12,truck,251,161,34,43
52,19,car,328,218,46,35
52,7,truck,870,238,50,39
53,1,car,637,408,169,127
53,2,car,1048,268,59,43
53,3,truck,694,312,127,104
53,4,truck,693,201,64,57
53,5,car,883,383,153,118
53,6,car,483,307,102,72
53,8,car,422,271,80,62
53,9,car,794,230,42,32
53,10,car,474,241,58,51
53,12,truck,251,161,34,43
53,19,car,329,218,44,35
53,7,truck,868,238,51,39
54,1,car,640,410,169,128
54,2,car,1046,268,59,43
54,3,truck,696,313,128,104
54,4,truck,693,201,63,57
54,5,car,889,385,155,119
54,6,car,484,307,103,73
54,8,car,423,271,79,62
54,9,car,794,230,43,32
54,10,car,475,241,58,50
54,12,truck,251,161,34,43
54,19,car,329,219,43,35
54,7,truck,867,238,50,39
55,1,car,643,412,171,129
55,2,car,1044,268,59,43
55,3,truck,700,313,130,105
55,4,truck,692,200,64,57
55,5,car,894,386,158,120
55,6,car,486,308,104,73
55,8,car,424,272,77,62
55,9,car,793,230,42,32
55,10,car,477,241,58,51
55,12,truck,251,161,33,44
55,19,car,330,219,45,35
55,7,truck,866,237,51,39
56,1,car,646,414,174,129
56,2,car,1042,268,58,43
56,3,truck,703,315,131,106
56,4,truck,691,200,65,56
56,5,car,899,389,160,120
56,6,car,488,309,105,74
56,8,car,425,273,79,61
56,9,car,792,230,42,32
56,10,car,478,242,58,51
56,12,truck,252,161,34,43
56,19,car,331,219,46,34
56,7,truck,866,237,50,39
56,45,car,431,227,49,34
57,1,car,649,416,176,130
57,2,car,1041,268,58,43
57,3,truck,705,315,131,106
57,4,truck,690,200,65,56
57,5,car,904,390,160,121
57,6,car,489,309,105,74
57,8,car,425,274,79,61
57,9,car,791,230,42,32
57,10,car,478,242,58,51
57,12,truck,251,161,34,43
57,19,car,331,219,46,35
57,7,truck,865,237,51,39
57,45,car,431,227,48,34
58,1,car,652,418,177,131
58,2,car,1040,267,59,43
58,3,truck,708,316,130,107
58,4,truck,690,200,64,57
58,5,car,910,391,162,122
58,6,car,491,309,106,75
58,8,car,426,274,79,60
58,9,car,790,229,42,31
58,10,car,479,243,57,51
58,12,truck,251,161,34,43
58,19,car,332,219,47,35
58,7,car,864,237,51,40
58,45,car,431,227,47,34
59,1,car,659,420,183,132
59,2,car,1038,267,58,42
59,3,truck,711,317,131,107
59,4,truck,690,200,63,57
59,5,car,916,393,162,124
59,6,car,492,310,107,74
59,8,car,427,274,80,61
59,9,car,790,229,42,31
59,10,car,480,243,58,51
59,12,truck,251,162,34,43
59,19,car,332,219,48,36
59,7,truck,863,237,50,40
59,45,car,432,227,47,34
59,48,car,394,214,44,37
